t,abs_zeta,abs_prod,ratio,delta,score,smooth_abs_zeta,smooth_score
37.779633,3.700988738978e-01,1.211552288195e+00,3.273590852723e+00,8.414534142972e-01,2.179872584807e+00,4.218179633035e-01,2.408081446019e+00
37.846411,4.878496501697e-01,1.505235887896e+00,3.085450378763e+00,1.017386237726e+00,1.844445651091e+00,5.067747458243e-01,2.061871923427e+00
37.913189,6.023480725934e-01,1.713213527332e+00,2.844225133743e+00,1.110865454738e+00,1.552210476844e+00,6.032971940008e-01,1.696790026260e+00
37.979967,7.137615197382e-01,1.825497876651e+00,2.557573960166e+00,1.111736356913e+00,1.276265515760e+00,7.054549926508e-01,1.334185015220e+00
38.046745,8.221439974284e-01,1.837304630001e+00,2.234772297491e+00,1.015160632573e+00,9.999790624728e-01,8.089842411744e-01,9.807612163583e-01
38.113523,9.273731682531e-01,1.749441888348e+00,1.886448679169e+00,8.220687200951e-01,7.100952954651e-01,9.111446348360e-01,6.355643931804e-01
38.180301,1.029123014786e+00,1.568764357992e+00,1.524370104888e+00,5.396413432062e-01,3.928742811536e-01,1.010280509135e+00,2.982125963751e-01
38.247078,1.126875096087e+00,1.308836211440e+00,1.161474076394e+00,1.819611153522e-01,3.024155365975e-02,1.105367601299e+00,-2.536554842140e-02
38.313856,1.219964063639e+00,9.916823555569e-01,8.128783339722e-01,-2.282817080822e-01,-4.059952336217e-01,1.195689384144e+00,-3.215803353465e-01
38.380634,1.307647508619e+00,6.558721661782e-01,5.015664862705e-01,-6.517753424404e-01,-9.582488334435e-01,1.280663421219e+00,-5.724122964292e-01
38.447412,1.389187172874e+00,4.047515526184e-01,2.913585444221e-01,-9.844356202556e-01,-1.561919467204e+00,1.359777237857e+00,-7.618145060715e-01
38.514190,1.463928067175e+00,4.695524443864e-01,3.207483037692e-01,-9.943756227884e-01,-1.518221843716e+00,1.432583520165e+00,-8.824921457100e-01
38.580968,1.531363579168e+00,7.445085940186e-01,4.861736325367e-01,-7.868549851495e-01,-1.147348017004e+00,1.498716780047e+00,-9.398258235138e-01
38.647746,1.591177564056e+00,1.025724315760e+00,6.446322138590e-01,-5.654532482957e-01,-9.035496843327e-01,1.557912816667e+00,-9.511457984804e-01
