t,abs_zeta
15.870618,1.431905283069e+00
15.953255,1.494440604757e+00
16.035893,1.557625059425e+00
16.118531,1.621052437403e+00
16.201169,1.683803093667e+00
16.283806,1.744650572397e+00
16.366444,1.802358324642e+00
16.449082,1.855986631386e+00
16.531720,1.905131135013e+00
16.614357,1.950032003892e+00
16.696995,1.991520467277e+00
16.779633,2.030804512568e+00
16.862270,2.069135723513e+00
16.944908,2.107437437818e+00
17.027546,2.145996572773e+00
17.110184,2.184312786991e+00
17.192821,2.221155632423e+00
17.275459,2.254817938117e+00
17.358097,2.283497715604e+00
17.440735,2.305711303869e+00
17.523372,2.320640736425e+00
17.606010,2.328339113255e+00
17.688648,2.329748039855e+00
17.771285,2.326515607643e+00
17.853923,2.320641903537e+00
17.936561,2.314020728854e+00
18.019199,2.307982257048e+00
18.101836,2.302954646439e+00
18.184474,2.298339472548e+00
18.267112,2.292639896589e+00
18.349750,2.283809170948e+00
18.432387,2.269722733556e+00
18.515025,2.248647229726e+00
18.597663,2.219596608137e+00
18.680301,2.182509141250e+00
18.762938,2.138223716010e+00
18.845576,2.088269970675e+00
18.928214,2.034517485680e+00
19.010851,1.978756843770e+00
19.093489,1.922306128060e+00
19.176127,1.865739675382e+00
19.258765,1.808810773183e+00
19.341402,1.750586795395e+00
19.424040,1.689751786865e+00
19.506678,1.624984649996e+00
19.589316,1.555308966028e+00
19.671953,1.480331601088e+00
19.754591,1.400325933217e+00
19.837229,1.316155391063e+00
19.919866,1.229065433676e+00
20.002504,1.140395884894e+00
20.085142,1.051281366486e+00
20.167780,9.624131969566e-01
20.250417,8.739256726714e-01
20.333055,7.854387431510e-01
20.415693,6.962427545888e-01
20.498331,6.055661527140e-01
20.580968,5.128439133142e-01
20.663606,4.179120525551e-01
20.746244,3.210842769781e-01
20.828881,2.231044675872e-01
20.911519,1.250023300481e-01
20.994157,2.800091083417e-02
21.076795,6.756848556011e-02
21.159432,1.602663183187e-01
21.242070,2.502803863071e-01
21.324708,3.377780559783e-01
21.407346,4.232262101413e-01
21.489983,5.071638197745e-01
21.572621,5.899754572936e-01
21.655259,6.717152277479e-01
21.737896,7.520314878624e-01
21.820534,8.302095689995e-01
21.903172,9.053129627833e-01
21.985810,9.763781266527e-01
22.068447,1.042609441293e+00
22.151085,1.103526153454e+00
22.233723,1.159027240652e+00
22.316361,1.209359364312e+00
22.398998,1.254995326762e+00
